,translated,label,annotation
0,"Here I realized that modular learning is not really effective! Ate is already carrying a module, she still hasn't got that #LugawIsEssential 😑","[[29, 37, 'neg']]","[['learning', 'neg']]"
1,"It’s frustrating to check out Children’s modules. You can just see from their answers that they find it difficult to understand the lessons especially if modular learning is what they choose. They want to take online classes, but they are poor in life. Hay buhay😭","[[41, 48, 'neg'], [132, 139, 'neg'], [162, 170, 'neg'], [217, 224, 'neg']]","[['modules', 'neg'], ['lessons', 'neg'], ['learning', 'neg'], ['classes', 'neg']]"
2,That's all Save San Roque will do haha. We’re looking for VOLUNTEER TEACHERS & amp; TEACHER TRAINERS to help children with difficulty in the current learning format (online and modular)! You may be interested or know someone! Please RT! ❤️❤️❤️,"[[166, 172, 'neu'], [177, 184, 'neu']]","[['online', 'neu'], ['modular', 'neu']]"
3,Parents orientation Brgy 743 Day Care Modular Learning System https://t.co/3AQnDCzKJV,"[[46, 54, 'neu']]","[['learning', 'neu']]"
4,"How can a 7 year old child finish freaking three modules in one hr only? For peter sake, modular and online learning aren't effective at all.","[[49, 56, 'neg'], [108, 116, 'neg']]","[['modules', 'neg'], ['learning', 'neg']]"
5,me upon knowing that I am in modular learning,"[[37, 45, 'neu']]","[['learning', 'neu']]"
6,"A challenge in being my Mother/Aunt. While caring for Dei. I have six nephews who take online classes, modular/digital learning (Elem, JHS & amp; SHS)","[[94, 101, 'neu'], [119, 127, 'neu']]","[['classes', 'neu'], ['learning', 'neu']]"
7,I don't want online learning kemerut xx modular huhu hirap,"[[20, 28, 'neg']]","[['learning', 'neg']]"
8,Celebrate the Success New Normal Class Opening Happy Teacher's Day #proudteacher #sulongedukalidad #parabata #parasabayan @ Malacañang Compound https://t.co/J3H036Ew2U,"[[33, 38, 'pos']]","[['class', 'pos']]"
9,Celebrate the Success New Normal Class Opening Happy Teacher's Day #proudteacher #sulongedukalidad #parabata #parasabayan @ Malacañang Compound https://t.co/JRENW59B8B,"[[33, 38, 'pos']]","[['class', 'pos']]"
10,#newnormal #Onlineclass thank you @PLDT_Cares @pldt @LiveSmart @SMARTCares @mySKYupdates online class test broadcast from home #WorkFromHome is a success using smartphone @SamsungMobile and @Dell computer. #digitalrise #SulongEdukalidad #depedphilippines @DepEd_PH,"[[96, 101, 'pos']]","[['class', 'pos']]"
11,were compromised because of Online Blended Learning. I have an experience about that so I can prove to all of you that This Online Learning is not efficient nor effective to students and teachers. [You can read my Pinned Tweet about my Academic Breakdown a few days ago].,"[[43, 51, 'neg'], [131, 139, 'neg'], [174, 182, 'neg'], [187, 195, 'neg']]","[['learning', 'neg'], ['learning', 'neg'], ['students', 'neg'], ['teachers', 'neg']]"
